number,pos_period,pos_group,pos_sub,label,is_metal,atomic_mass,molar_volume,possible_charges,default_charge,is_paired_simple,electroneg,name
1,1,1,1,H,0,1.00795,0.0,-1 0 1,1,1,2.1,водород
2,1,8,1,He,0,4.002602,0.0,0,0,0,0.0,гелий
3,2,1,1,Li,1,6.9412,0.0,0 1,1,0,0.99,литий
4,2,2,1,Be,1,9.01218,0.0,0 1 2,2,0,1.57,бериллий
5,2,3,1,B,0,10.812,0.0,-3 -1 0 1 2 3,3,0,2.04,бор
6,2,4,1,C,0,12.0108,0.0,-4 -3 -2 -1 0 1 2 3 4,4,0,2.55,углерод
7,2,5,1,N,0,14.0067,0.0,-3 -2 -1 0 1 2 3 4 5,5,1,3.04,азот
8,2,6,1,O,0,15.9994,0.0,-2 -1 0 1 2,2,1,3.44,кислород
9,2,7,1,F,0,18.9984,0.0,-1 0,-1,1,3.98,фтор
10,2,8,1,Ne,0,20.179,0.0,0,0,0,0.0,неон
11,3,1,1,Na,1,22.98977,0.0,0 1,1,0,0.98,натрий
12,3,2,1,Mg,1,24.305,0.0,0 1 2,2,0,1.31,магний
13,3,3,1,Al,1,26.98154,0.0,0 3,3,0,1.61,алюминий
14,3,4,1,Si,0,28.086,0.0,-4 -3 -2 -1 0 1 2 3 4,4,0,1.9,кремний
15,3,5,1,P,0,30.97376,0.0,-3 -2 -1 0 1 2 3 4 5,5,0,2.19,фосфор
16,3,6,1,S,0,32.06,0.0,-2 -1 0 1 2 3 4 5 6,4,0,2.58,сера
17,3,7,1,Cl,0,35.453,0.0,-1 0 1 2 3 4 5 6 7,7,1,3.16,хлор
18,3,8,1,Ar,0,39.948,0.0,0,0,0,0.0,аргон
19,4,1,1,K,1,39.0983,0.0,0 1,1,0,0.82,калий
20,4,2,1,Ca,1,40.08,0.0,0 2,2,0,1.0,кальций
21,4,3,0,Sc,1,44.9559,0.0,0 1 2 3,3,0,1.36,скандий
22,4,4,0,Ti,1,47.9,0.0,0 2 3 4,4,0,1.54,титан
23,4,5,0,V,1,50.9415,0.0,0 1 2 3 4 5,5,0,1.63,ванадий
24,4,6,0,Cr,1,51.996,0.0,0 1 2 3 4 6,2,0,1.66,хром
25,4,7,0,Mn,1,54.938,0.0,-1 0 1 2 3 4 5 6 7,7,0,1.55,марганец
26,4,8,0,Fe,1,55.847,0.0,0 1 2 3 4 5 6,2,0,1.83,железо
27,4,8,0,Co,1,58.9332,0.0,0 1 2 3 4 5,3,0,1.88,кобальт
28,4,8,0,Ni,1,58.7,0.0,0 1 2 3 4,2,0,1.91,никель
29,4,1,0,Cu,1,63.546,0.0,0 1 2 3 4,2,0,1.9,медь
30,4,2,0,Zn,1,65.38,0.0,0 2,2,0,1.65,цинк
31,4,3,1,Ga,1,69.72,0.0,0 1 2 3,3,0,1.81,галлий
32,4,4,1,Ge,1,72.59,0.0,-4 0 1 2 3 4,2,0,2.01,германий
33,4,5,1,As,0,74.9216,0.0,-3 0 2 3 5,3,0,2.18,мышьяк
34,4,6,1,Se,0,78.96,0.0,-2 0 2 4 6,2,0,2.55,селен
35,4,7,1,Br,0,79.904,0.0,-1 0 1 3 4 5 7,-1,1,2.96,бром
36,4,8,1,Kr,0,83.8,0.0,0 2,2,0,3.0,криптон
37,5,1,1,Rb,1,85.4678,0.0,0 1,1,0,0.82,рубидий
38,5,2,1,Sr,1,87.62,0.0,0 2,2,0,1.0,стронций
39,5,3,0,Y,1,88.9059,0.0,0 1 2 3,3,0,1.36,иттрий
40,5,4,0,Zr,1,91.22,0.0,0 1 2 3 4,4,0,1.54,цирконий
41,5,5,0,Nb,1,92.9064,0.0,-1 0 2 3 4 5,5,0,1.63,ниобий
42,5,6,0,Mo,1,95.94,0.0,-2 -1 0 1 2 3 4 5 6,4,0,1.66,молибден
43,5,7,0,Tc,1,98.9062,0.0,-3 -1 0 1 2 3 4 5 6 7,4,0,1.55,технеций
44,5,8,0,Ru,1,101.07,0.0,-2 0 1 2 3 4 5 6 7 8,3,0,2.2,рутений
45,5,8,0,Rh,1,102.9055,0.0,-1 0 1 2 3 4 5 6,3,0,2.28,родий
46,5,8,0,Pd,1,106.4,0.0,0 2 4,2,0,2.2,палладий
47,5,1,0,Ag,1,107.868,0.0,0 1 2 3,1,0,1.93,серебро
48,5,2,0,Cd,1,112.41,0.0,0 2,2,0,1.69,кадмий
49,5,3,1,In,1,114.82,0.0,0 1 2 3,3,0,1.78,индий
